pints_sha,date_time,seed,kld,mean-ess
unknown-1614074276,2021-02-23T09:57:56,1614074276,0.0055295987524075,277.3088331430493
unknown-1614074276,2021-02-23T09:57:56,1614074277,0.0018197830096109,288.7496085420241
unknown-1614074276,2021-02-23T09:57:56,1614074278,0.0006230454158437,295.8293061569646
unknown-1614074276,2021-02-23T09:57:56,1614074279,0.0023550523652198,309.6797786845114
unknown-1614074276,2021-02-23T09:57:56,1614074280,0.0041112868734589,285.64657943897225
unknown-1614074354,2021-02-23T09:59:14,1614074354,0.0010668845308514,286.60550048931754
unknown-1614074354,2021-02-23T09:59:14,1614074355,0.0017821390530465,264.7553254481063
unknown-1614074354,2021-02-23T09:59:14,1614074356,9.005226441161085e-05,256.8854577172644
unknown-1614074354,2021-02-23T09:59:14,1614074357,0.0025910220874392,297.10445691175977
unknown-1614074354,2021-02-23T09:59:14,1614074358,0.004397393264282,281.92523280316584
unknown-1614074367,2021-02-23T09:59:27,1614074367,0.0034121645254305,286.8670278146423
unknown-1614074367,2021-02-23T09:59:27,1614074368,0.005118363315832,284.98617475359737
unknown-1614074367,2021-02-23T09:59:27,1614074369,0.0014768443568813,295.8977182964034
unknown-1614074367,2021-02-23T09:59:27,1614074370,0.0024744533675582,244.2285898615225
unknown-1614074367,2021-02-23T09:59:27,1614074371,0.0012199669612735,301.9320387316813
unknown-1614081977,2021-02-23T12:06:17,1614081977,0.001838922492702011,284.20607428631763
unknown-1614081977,2021-02-23T12:06:17,1614081978,0.0009475989523759498,307.91644264100637
unknown-1614081977,2021-02-23T12:06:17,1614081979,0.003144522048135867,276.49853951004303
unknown-1614081977,2021-02-23T12:06:17,1614081980,0.0037645853948391483,287.8241156514725
unknown-1614081977,2021-02-23T12:06:17,1614081981,0.003875168426584308,282.91499270451465
